frame_id,dataset,source_video_id,frame_seconds,width,height,assigned_quota,assigned_batch_id,time_of_day,weather,lighting_type,is_indoor,people_count_bucket,has_clearly_visible_person,has_open_floor_or_ground_space,person_holding_object,has_wall_signage_visible,has_traffic_light_visible,traffic_light_state,has_stop_sign_visible,has_road_sign_visible,has_clear_road_ahead,vehicle_count_in_scene,has_visible_damage,has_undamaged_surface_target,has_handheld_object_visible,has_open_surface_space,family,tier,pool,assigned_variant,assigned_prompt_template,assigned_prompt_filled,flagged,flagged_reason,hero_candidate,target_time,target_weather,target_lighting,target_crowd,param_location,param_activity,param_clothing,param_original_object,param_new_object,param_person_reference,param_signage_type,param_current_color,param_target_color,param_hazard_type,param_vehicle_description,param_damage_type,param_surface_type,param_object_description,param_scene_type,param_time,param_count,param_setting,param_weather,param_traffic_density,param_scene,param_subject,t1_subtype,t2_subtype,assigned_item_id
bdd100k_0049e5b8-afda7206,bdd100k,,,1280,720,dashcam_T2_train_vehicle_count_in_scene,dashcam_train_T2,midday,clear,daylight,0,empty,0,1,,,1,green,0,1,1,7,,,,,dashcam,T2,train,B,X-T2-REMOVE-VEHICLE-DSH,"Remove the vehicle in the next lane from this dashcam still. Fill the area with road surface, lane markings, sky, or background as appropriate, consistent with what would be visible if that vehicle were not there. Keep all other vehicles, road markings, signage, traffic lights, and pedestrians exactly as they appear. Make it look as photorealistic as possible.",0,,0,,,,,,,,,,,,,,,the vehicle in the next lane,,,,,,,,,,,,,REMOVE-VEHICLE,item_00392_dashcam_T2_train_B
bdd100k_00d0f034-6d666f7b,bdd100k,,,1280,720,dashcam_T1_test,dashcam_test_T1,midday,clear,daylight,0,sparse,1,1,,,0,none,0,1,0,5,,,,,dashcam,T1,test,B,X-T1-TIME-DSH,"Shift the time of day in this dashcam still from midday to dusk. Adjust lighting, shadow direction, sky color, and ambient brightness to match dusk. Keep all people, vehicles, objects, structures, and signage exactly as they appear in the original image — same positions, same poses, same details. Make it look as photorealistic as possible. Change as little as possible beyond the lighting and time-of-day cues. Don't change any details of the original photo other than what's needed for the time shift.",0,,0,dusk,,,,,,,,,,,,,,,,,,,,,,,,,,TIME,,item_00420_dashcam_T1_test_B
bdd100k_00e9be89-00000160,bdd100k,,,1280,720,dashcam_T1_train,dashcam_train_T1,midday,clear,daylight,0,empty,0,1,,,0,none,0,1,1,3,,,,,dashcam,T1,train,A,X-T1-TIME-DSH,"Shift the time of day in this dashcam still from midday to dusk. Adjust lighting, shadow direction, sky color, and ambient brightness to match dusk. Keep all people, vehicles, objects, structures, and signage exactly as they appear in the original image — same positions, same poses, same details. Make it look as photorealistic as possible. Change as little as possible beyond the lighting and time-of-day cues. Don't change any details of the original photo other than what's needed for the time shift.",0,,0,dusk,,,,,,,,,,,,,,,,,,,,,,,,,,TIME,,item_00260_dashcam_T1_train_A
bdd100k_00e9be89-00001640,bdd100k,,,1280,720,dashcam_T1_train,dashcam_train_T1,night,clear,mixed,1,empty,0,1,,,0,none,0,1,0,6,,,,,dashcam,T1,train,A,X-T1-TIME-DSH,"Shift the time of day in this dashcam still from night to morning. Adjust lighting, shadow direction, sky color, and ambient brightness to match morning. Keep all people, vehicles, objects, structures, and signage exactly as they appear in the original image — same positions, same poses, same details. Make it look as photorealistic as possible. Change as little as possible beyond the lighting and time-of-day cues. Don't change any details of the original photo other than what's needed for the time shift.",0,,0,morning,,,,,,,,,,,,,,,,,,,,,,,,,,TIME,,item_00308_dashcam_T1_train_A
bdd100k_04488604-2d268bc2,bdd100k,,,1280,720,dashcam_T1_test,dashcam_test_T1,night,clear,mixed,0,sparse,0,1,,,1,green,0,1,0,7,,,,,dashcam,T1,test,A,X-T1-LIGHTING-DSH,"Change the lighting in this dashcam still from mixed to dim. Adjust color temperature, contrast, and brightness throughout the image. Do not change the time of day or weather. Keep all people, vehicles, objects, structures, and signage exactly as they appear. Make it look as photorealistic as possible. Change as little as possible beyond the lighting. Don't change any details of the original photo other than the lighting.",0,,0,,,dim,,,,,,,,,,,,,,,,,,,,,,,,LIGHTING,,item_00422_dashcam_T1_test_A
bdd100k_0499c620-1c4a837b,bdd100k,,,1280,720,dashcam_T2_test_has_traffic_light_visible,dashcam_test_T2,midday,clear,daylight,0,sparse,0,1,,,1,green,0,1,1,6,,,,,dashcam,T2,test,C,X-T2-LIGHT-COLOR-DSH,"In this dashcam still, change the color of the traffic light at approximately the intersection ahead from green to red. Adjust the glow and reflection on nearby surfaces (wet pavement, the hood of the vehicle, surrounding signs) to match the new color. Keep all vehicles, road markings, signage, pedestrians, and background exactly as they appear. Make it look as photorealistic as possible. The image should appear exactly as it would have if the light had simply been showing red.",0,,0,,,,,,,,,,,,green,red,,,,,,,,,,,,,,,LIGHT-COLOR,item_00455_dashcam_T2_test_C
bdd100k_052d8d40-89ac0197,bdd100k,,,1280,720,dashcam_T2_train_vehicle_count_in_scene,dashcam_train_T2,midday,clear,daylight,0,sparse,0,1,,,0,none,0,1,0,4,,,,,dashcam,T2,train,C,X-T2-REMOVE-VEHICLE-DSH,"Remove the vehicle directly ahead from this dashcam still. Fill the area with road surface, lane markings, sky, or background as appropriate, consistent with what would be visible if that vehicle were not there. Keep all other vehicles, road markings, signage, traffic lights, and pedestrians exactly as they appear. Make it look as photorealistic as possible.",0,,0,,,,,,,,,,,,,,,the vehicle directly ahead,,,,,,,,,,,,,REMOVE-VEHICLE,item_00393_dashcam_T2_train_C
bdd100k_05e4d922-d9d40f7b,bdd100k,,,1280,720,dashcam_T2_train_has_stop_sign_visible,dashcam_train_T2,night,clear,sodium_vapor,0,empty,0,1,,,0,none,1,0,0,10,,,,,dashcam,T2,train,C,X-T2-REMOVE-SIGN-DSH,"Remove the stop sign located at approximately the right side of the road ahead from this dashcam still. Fill the area with sky, pole, or background as appropriate. Keep all vehicles, road markings, traffic lights, pedestrians, and other signage exactly as they appear. Make it look as photorealistic as possible. The image should appear as if that sign had never been installed at that location.",0,,0,,,,,the right side of the road ahead,,,,,,,,,,,,,,,,,,,,,,,REMOVE-SIGN-DSH,item_00368_dashcam_T2_train_C
bdd100k_06a8f8ee-334adbd2_train_color,bdd100k,,,1280,720,dashcam_T1_test,dashcam_test_T1,midday,clear,daylight,0,empty,0,1,,,1,yellow,0,1,0,1,,,,,dashcam,T1,test,B,X-T1-WEATHER-DSH,"Change the weather in this dashcam still from clear to fog. Add ground-level fog and reduced visibility consistent with fog. Adjust lighting, sky, and ground appearance to match. Keep all people, vehicles, objects, structures, and signage exactly as they appear in the original image. Make it look as photorealistic as possible. Change as little as possible beyond what the weather change requires. Don't change any details of the original photo other than the weather.",0,,0,,fog,,,,,,,,,,,,,,,,,,,,,,,,,WEATHER,,item_00405_dashcam_T1_test_B
bdd100k_0738f42e-734821e2,bdd100k,,,1280,720,dashcam_T1_train,dashcam_train_T1,midday,light_rain,daylight,0,sparse,0,1,,,1,green,0,1,0,6,,,,,dashcam,T1,train,C,X-T1-LIGHTING-DSH,"Change the lighting in this dashcam still from daylight to mixed. Adjust color temperature, contrast, and brightness throughout the image. Do not change the time of day or weather. Keep all people, vehicles, objects, structures, and signage exactly as they appear. Make it look as photorealistic as possible. Change as little as possible beyond the lighting. Don't change any details of the original photo other than the lighting.",0,,0,,,mixed,,,,,,,,,,,,,,,,,,,,,,,,LIGHTING,,item_00250_dashcam_T1_train_C
